[2018-05-31 16:17:39.110] [logfile] [info] Logfile created ../Example/example.yaml
[2018-05-31 16:17:39.111] [logfile] [info] Grid size: 100 x 100 x 10
[2018-05-31 16:17:39.111] [logfile] [info] Cell size: 1 x 1 x 1
[2018-05-31 16:17:39.230] [logfile] [info] FTL file: ../Example/example.ftl
[2018-05-31 16:17:39.230] [logfile] [info] Porosity: 0.25
[2018-05-31 16:17:39.230] [logfile] [info] Trilinear: true
[2018-05-31 16:17:39.230] [logfile] [info] Seed: 1527808659
[2018-05-31 16:17:39.230] [logfile] [info] Molecular diffusion: 1e-09
[2018-05-31 16:17:39.230] [logfile] [info] Longitudinal dispersivity: 0.01
[2018-05-31 16:17:39.230] [logfile] [info] Transverse dispersivity: 0.001
[2018-05-31 16:17:39.230] [logfile] [info] Particles: 10000
[2018-05-31 16:17:39.292] [logfile] [info] Box P1: (5, 49, 4.9)
[2018-05-31 16:17:39.292] [logfile] [info] Box P2: (7, 51, 5.1)
[2018-05-31 16:17:39.292] [logfile] [info] output/result.csv ready
[2018-05-31 16:17:39.292] [logfile] [info] Writing CSV file (STEP 0)
[2018-05-31 16:17:39.295] [logfile] [info] Writing Snapshot file ../Example/output/snap-0.csv (STEP 0)
[2018-05-31 16:17:39.322] [logfile] [info] Writing CSV file (STEP 10)
[2018-05-31 16:17:39.326] [logfile] [info] Writing CSV file (STEP 20)
[2018-05-31 16:17:39.329] [logfile] [info] Writing CSV file (STEP 30)
[2018-05-31 16:17:39.332] [logfile] [info] Writing CSV file (STEP 40)
[2018-05-31 16:17:39.335] [logfile] [info] Writing CSV file (STEP 50)
[2018-05-31 16:17:39.338] [logfile] [info] Writing CSV file (STEP 60)
[2018-05-31 16:17:39.342] [logfile] [info] Writing CSV file (STEP 70)
[2018-05-31 16:17:39.345] [logfile] [info] Writing CSV file (STEP 80)
[2018-05-31 16:17:39.348] [logfile] [info] Writing CSV file (STEP 90)
[2018-05-31 16:17:39.352] [logfile] [info] Writing CSV file (STEP 100)
[2018-05-31 16:17:39.356] [logfile] [info] Writing CSV file (STEP 110)
[2018-05-31 16:17:39.359] [logfile] [info] Writing CSV file (STEP 120)
[2018-05-31 16:17:39.362] [logfile] [info] Writing CSV file (STEP 130)
[2018-05-31 16:17:39.366] [logfile] [info] Writing CSV file (STEP 140)
[2018-05-31 16:17:39.369] [logfile] [info] Writing CSV file (STEP 150)
[2018-05-31 16:17:39.372] [logfile] [info] Writing CSV file (STEP 160)
[2018-05-31 16:17:39.375] [logfile] [info] Writing CSV file (STEP 170)
[2018-05-31 16:17:39.378] [logfile] [info] Writing CSV file (STEP 180)
[2018-05-31 16:17:39.381] [logfile] [info] Writing CSV file (STEP 190)
[2018-05-31 16:17:39.386] [logfile] [info] Writing CSV file (STEP 200)
[2018-05-31 16:17:39.389] [logfile] [info] Writing CSV file (STEP 210)
[2018-05-31 16:17:39.392] [logfile] [info] Writing CSV file (STEP 220)
[2018-05-31 16:17:39.395] [logfile] [info] Writing CSV file (STEP 230)
[2018-05-31 16:17:39.399] [logfile] [info] Writing CSV file (STEP 240)
[2018-05-31 16:17:39.402] [logfile] [info] Writing CSV file (STEP 250)
[2018-05-31 16:17:39.405] [logfile] [info] Writing CSV file (STEP 260)
[2018-05-31 16:17:39.408] [logfile] [info] Writing CSV file (STEP 270)
[2018-05-31 16:17:39.411] [logfile] [info] Writing CSV file (STEP 280)
[2018-05-31 16:17:39.416] [logfile] [info] Writing CSV file (STEP 290)
[2018-05-31 16:17:39.419] [logfile] [info] Writing CSV file (STEP 300)
[2018-05-31 16:17:39.423] [logfile] [info] Writing CSV file (STEP 310)
[2018-05-31 16:17:39.426] [logfile] [info] Writing CSV file (STEP 320)
[2018-05-31 16:17:39.429] [logfile] [info] Writing CSV file (STEP 330)
[2018-05-31 16:17:39.432] [logfile] [info] Writing CSV file (STEP 340)
[2018-05-31 16:17:39.435] [logfile] [info] Writing CSV file (STEP 350)
[2018-05-31 16:17:39.438] [logfile] [info] Writing CSV file (STEP 360)
[2018-05-31 16:17:39.442] [logfile] [info] Writing CSV file (STEP 370)
[2018-05-31 16:17:39.445] [logfile] [info] Writing CSV file (STEP 380)
[2018-05-31 16:17:39.449] [logfile] [info] Writing CSV file (STEP 390)
[2018-05-31 16:17:39.453] [logfile] [info] Writing CSV file (STEP 400)
[2018-05-31 16:17:39.456] [logfile] [info] Writing CSV file (STEP 410)
[2018-05-31 16:17:39.459] [logfile] [info] Writing CSV file (STEP 420)
[2018-05-31 16:17:39.462] [logfile] [info] Writing CSV file (STEP 430)
[2018-05-31 16:17:39.465] [logfile] [info] Writing CSV file (STEP 440)
[2018-05-31 16:17:39.469] [logfile] [info] Writing CSV file (STEP 450)
[2018-05-31 16:17:39.472] [logfile] [info] Writing CSV file (STEP 460)
[2018-05-31 16:17:39.476] [logfile] [info] Writing CSV file (STEP 470)
[2018-05-31 16:17:39.480] [logfile] [info] Writing CSV file (STEP 480)
[2018-05-31 16:17:39.483] [logfile] [info] Writing CSV file (STEP 490)
